Feature,Priviliged,UnPriviliged,% Priviliged class,SPD
Wdft_RegionIdentifier,1.0,7.0,55.03,-0.02097
Wdft_RegionIdentifier,1.0,11.0,55.03,-0.04079
Wdft_RegionIdentifier,1.0,10.0,55.03,-0.04718
Wdft_RegionIdentifier,1.0,14.0,55.03,-0.05029
Wdft_RegionIdentifier,1.0,13.0,55.03,-0.05456
Wdft_RegionIdentifier,1.0,9.0,55.03,-0.06753
Wdft_RegionIdentifier,1.0,6.0,55.03,-0.06858
Wdft_RegionIdentifier,1.0,3.0,55.03,-0.07618
Wdft_RegionIdentifier,1.0,15.0,55.03,-0.07872
Wdft_RegionIdentifier,1.0,5.0,55.03,-0.0933
Wdft_RegionIdentifier,1.0,4.0,55.03,-0.09429
Wdft_RegionIdentifier,1.0,8.0,55.03,-0.10464
Wdft_RegionIdentifier,1.0,12.0,55.03,-0.11458
Wdft_RegionIdentifier,1.0,2.0,55.03,-0.15555
Census_IsTouchEnabled,0,1,50.73,-0.07606
Census_IsSecureBootEnabled,0,1,50.11,-0.00669
IsSxsPassiveMode,0,1,50.14,-0.20341
Census_MDC2FormFactor,Desktop,AllInOne,53.54,-0.012
Census_MDC2FormFactor,Desktop,SmallServer,53.54,-0.03544
Census_MDC2FormFactor,Desktop,Notebook,53.54,-0.03651
Census_MDC2FormFactor,Desktop,Convertible,53.54,-0.06215
Census_MDC2FormFactor,Desktop,PCOther,53.54,-0.1129
Census_MDC2FormFactor,Desktop,Detachable,53.54,-0.14222
Census_MDC2FormFactor,Desktop,LargeTablet,53.54,-0.23241
Census_MDC2FormFactor,Desktop,MediumServer,53.54,-0.33544
Census_MDC2FormFactor,Desktop,SmallTablet,53.54,-0.47661
Census_OSWUAutoUpdateOptionsName,FullAuto,Off,52.5,-0.00984
Census_OSWUAutoUpdateOptionsName,FullAuto,AutoInstallAndRebootAtMaintenanceTime,52.5,-0.03801
Census_OSWUAutoUpdateOptionsName,FullAuto,UNKNOWN,52.5,-0.04741
Census_OSWUAutoUpdateOptionsName,FullAuto,Notify,52.5,-0.05361
Census_OSWUAutoUpdateOptionsName,FullAuto,DownloadNotify,52.5,-0.12499
OsSuite,256,272,51.44,-0.01443
OsSuite,256,768,51.44,-0.02578
OsSuite,256,400,51.44,-0.51443
OsSuite,256,305,51.44,-0.51443
Census_IsPortableOperatingSystem,1,0,66.67,-0.16894
Census_ActivationChannel,Volume:MAK,Volume:GVLK,66.67,-0.08784
Census_ActivationChannel,Volume:MAK,OEM:NONSLP,66.67,-0.12153
Census_ActivationChannel,Volume:MAK,Retail,66.67,-0.17212
Census_ActivationChannel,Volume:MAK,OEM:DM,66.67,-0.17863
Census_ActivationChannel,Volume:MAK,Retail:TB:Eval,66.67,-0.41667
Census_OSArchitecture,amd64,x86,51.0,-0.13545
Census_GenuineStateName,OFFLINE,UNKNOWN,58.04,-0.08042
Census_GenuineStateName,OFFLINE,IS_GENUINE,58.04,-0.08316
Census_GenuineStateName,OFFLINE,INVALID_LICENSE,58.04,-0.09202
Census_IsPenCapable,0,1,49.91,-0.02999
Processor,x64,x86,51.01,-0.13875
ProductName,mse,win8defender,62.03,-0.12354
Census_PrimaryDiskTypeName,HDD,SSD,50.16,-0.00223
Census_PrimaryDiskTypeName,HDD,Unspecified,50.16,-0.02283
Census_PrimaryDiskTypeName,HDD,UNKNOWN,50.16,-0.06136
Platform,windows7,windows8,62.82,-0.11757
Platform,windows7,windows10,62.82,-0.13169
Platform,windows7,windows2016,62.82,-0.22821
HasTpm,0,1,61.8,-0.12139
Census_HasOpticalDiskDrive,1,0,54.92,-0.05576
SkuEdition,Education,Invalid,65.85,-0.05248
SkuEdition,Education,Enterprise LTSB,65.85,-0.07959
SkuEdition,Education,Enterprise,65.85,-0.10298
SkuEdition,Education,Pro,65.85,-0.14774
SkuEdition,Education,Home,65.85,-0.1706
SkuEdition,Education,Cloud,65.85,-0.40854
SkuEdition,Education,Server,65.85,-0.40854
OsPlatformSubRelease,windows7,prers5,62.82,-0.01951
OsPlatformSubRelease,windows7,rs4,62.82,-0.10285
OsPlatformSubRelease,windows7,windows8.1,62.82,-0.11757
OsPlatformSubRelease,windows7,th1,62.82,-0.12259
OsPlatformSubRelease,windows7,rs3,62.82,-0.13756
OsPlatformSubRelease,windows7,rs2,62.82,-0.15067
OsPlatformSubRelease,windows7,th2,62.82,-0.18603
OsPlatformSubRelease,windows7,rs1,62.82,-0.21644
Census_FlightRing,Disabled,WIF,100.0,-0.28571
Census_FlightRing,Disabled,Missing value,100.0,-0.49524
Census_FlightRing,Disabled,WIS,100.0,-0.5
Census_FlightRing,Disabled,Retail,100.0,-0.50229
Census_FlightRing,Disabled,NOT_SET,100.0,-0.5119
Census_FlightRing,Disabled,RP,100.0,-0.54545
Census_OSInstallTypeName,Clean,UUPUpgrade,54.69,-0.00476
Census_OSInstallTypeName,Clean,IBSClean,54.69,-0.05115
Census_OSInstallTypeName,Clean,Reset,54.69,-0.06107
Census_OSInstallTypeName,Clean,Update,54.69,-0.0643
Census_OSInstallTypeName,Clean,Refresh,54.69,-0.06728
Census_OSInstallTypeName,Clean,Upgrade,54.69,-0.07651
Census_OSInstallTypeName,Clean,Other,54.69,-0.09143
Census_OSInstallTypeName,Clean,CleanPCRefresh,54.69,-0.20645
Census_DeviceFamily,Windows.Desktop,Windows.Server,49.8,-0.09802
SmartScreen,Warn,ExistsNotSet,56.3,-0.0004
SmartScreen,Warn,Prompt,56.3,-0.07043
SmartScreen,Warn,Off,56.3,-0.07459
SmartScreen,Warn,RequireAdmin,56.3,-0.12884
